time,node,sf
0,pop0,a
0,pop1,b
0,pop10,c
6.0,pop0,a
6.0,pop1,b
6.0,pop10,c
12.0,pop0,a
12.0,pop1,b
12.0,pop10,c
18.0,pop0,a
18.0,pop1,b
18.0,pop10,c
24.0,pop0,a
24.0,pop1,b
24.0,pop10,c
30.0,pop0,a
30.0,pop1,b
30.0,pop10,c
36.0,pop0,a
36.0,pop1,b
36.0,pop10,c
42.0,pop0,a
42.0,pop1,b
42.0,pop10,c
48.0,pop0,a
48.0,pop1,b
48.0,pop10,c
54.0,pop0,a
54.0,pop1,b
54.0,pop10,c
60.0,pop0,a
60.0,pop1,b
60.0,pop10,c
66.0,pop0,a
66.0,pop1,b
66.0,pop10,c
72.0,pop0,a
72.0,pop1,b
72.0,pop10,c
78.0,pop0,a
78.0,pop1,b
78.0,pop10,c
84.0,pop0,a
84.0,pop1,b
84.0,pop10,c
90.0,pop0,a
90.0,pop1,b
90.0,pop10,c
96.0,pop0,a
96.0,pop1,b
96.0,pop10,c
102.0,pop0,a
102.0,pop1,b
102.0,pop10,c
108.0,pop0,a
108.0,pop1,b
108.0,pop10,c
114.0,pop0,a
114.0,pop1,b
114.0,pop10,c
120.0,pop0,a
120.0,pop1,b
120.0,pop10,c
126.0,pop0,a
126.0,pop1,b
126.0,pop10,c
132.0,pop0,a
132.0,pop1,b
132.0,pop10,c
138.0,pop0,a
138.0,pop1,b
138.0,pop10,c
144.0,pop0,a
144.0,pop1,b
144.0,pop10,c
150.0,pop0,a
150.0,pop1,b
150.0,pop10,c
156.0,pop0,a
156.0,pop1,b
156.0,pop10,c
162.0,pop0,a
162.0,pop1,b
162.0,pop10,c
168.0,pop0,a
168.0,pop1,b
168.0,pop10,c
174.0,pop0,a
174.0,pop1,b
174.0,pop10,c
180.0,pop0,a
180.0,pop1,b
180.0,pop10,c
186.0,pop0,a
186.0,pop1,b
186.0,pop10,c
192.0,pop0,a
192.0,pop1,b
192.0,pop10,c
198.0,pop0,a
198.0,pop1,b
198.0,pop10,c
204.0,pop0,a
204.0,pop1,b
204.0,pop10,c
210.0,pop0,a
210.0,pop1,b
210.0,pop10,c
216.0,pop0,a
216.0,pop1,b
216.0,pop10,c
222.0,pop0,a
222.0,pop1,b
222.0,pop10,c
228.0,pop0,a
228.0,pop1,b
228.0,pop10,c
234.0,pop0,a
234.0,pop1,b
234.0,pop10,c
240.0,pop0,a
240.0,pop1,b
240.0,pop10,c
246.0,pop0,a
246.0,pop1,b
246.0,pop10,c
252.0,pop0,a
252.0,pop1,b
252.0,pop10,c
258.0,pop0,a
258.0,pop1,b
258.0,pop10,c
264.0,pop0,a
264.0,pop1,b
264.0,pop10,c
270.0,pop0,a
270.0,pop1,b
270.0,pop10,c
276.0,pop0,a
276.0,pop1,b
276.0,pop10,c
282.0,pop0,a
282.0,pop1,b
282.0,pop10,c
288.0,pop0,a
288.0,pop1,b
288.0,pop10,c
294.0,pop0,a
294.0,pop1,b
294.0,pop10,c
