episode,time,node,sf
1,0,pop0,a
1,0,pop0,c
1,0,pop0,b
1,100.0,pop0,c
1,100.0,pop0,a
1,100.0,pop2,a
1,100.0,pop3,c
1,100.0,pop3,b
1,100.0,pop4,c
1,100.0,pop5,b
1,100.0,pop6,b
1,100.0,pop7,a
1,100.0,pop9,a
1,100.0,pop10,b
1,100.0,pop10,c
1,200.0,pop0,c
1,200.0,pop0,a
1,200.0,pop2,c
1,200.0,pop2,a
1,200.0,pop3,c
1,200.0,pop3,b
1,200.0,pop4,c
1,200.0,pop5,b
1,200.0,pop6,c
1,200.0,pop6,b
1,200.0,pop7,b
1,200.0,pop9,c
1,200.0,pop9,a
1,200.0,pop10,a
1,200.0,pop10,b
1,200.0,pop10,c
1,300.0,pop0,a
1,300.0,pop2,a
1,300.0,pop3,c
1,300.0,pop4,c
1,300.0,pop5,b
1,300.0,pop6,c
1,300.0,pop6,b
1,300.0,pop7,b
1,300.0,pop9,c
1,300.0,pop9,a
1,300.0,pop10,b
1,400.0,pop2,a
1,400.0,pop3,c
1,400.0,pop6,c
1,400.0,pop7,b
1,400.0,pop9,a
1,400.0,pop10,b
1,500.0,pop0,c
1,500.0,pop0,a
1,500.0,pop2,c
1,500.0,pop2,a
1,500.0,pop3,c
1,500.0,pop3,b
1,500.0,pop4,b
1,500.0,pop5,c
1,500.0,pop6,b
1,500.0,pop6,c
1,500.0,pop7,b
1,500.0,pop9,a
1,500.0,pop10,a
1,500.0,pop10,c
1,500.0,pop10,b
1,600.0,pop0,c
1,600.0,pop0,b
1,600.0,pop0,a
1,600.0,pop2,a
1,600.0,pop3,c
1,600.0,pop5,c
1,600.0,pop6,c
1,600.0,pop6,b
1,600.0,pop7,b
1,600.0,pop9,a
1,600.0,pop10,b
1,600.0,pop10,c
1,700.0,pop0,c
1,700.0,pop0,a
1,700.0,pop2,a
1,700.0,pop3,c
1,700.0,pop4,c
1,700.0,pop5,b
1,700.0,pop6,c
1,700.0,pop6,b
1,700.0,pop7,b
1,700.0,pop9,a
1,700.0,pop10,b
1,700.0,pop10,c
1,800.0,pop0,a
1,800.0,pop2,a
1,800.0,pop3,c
1,800.0,pop4,c
1,800.0,pop5,b
1,800.0,pop6,c
1,800.0,pop6,b
1,800.0,pop7,b
1,800.0,pop9,c
1,800.0,pop9,a
1,800.0,pop10,b
1,900.0,pop0,a
1,900.0,pop2,a
1,900.0,pop3,c
1,900.0,pop4,c
1,900.0,pop5,b
1,900.0,pop6,c
1,900.0,pop6,b
1,900.0,pop7,b
1,900.0,pop9,c
1,900.0,pop9,a
1,900.0,pop10,b
1,1000.0,pop0,a
1,1000.0,pop2,a
1,1000.0,pop3,c
1,1000.0,pop4,c
1,1000.0,pop5,b
1,1000.0,pop6,c
1,1000.0,pop6,b
1,1000.0,pop7,b
1,1000.0,pop9,c
1,1000.0,pop9,a
1,1000.0,pop10,b
1,1000.0,pop10,c
1,1100.0,pop0,c
1,1100.0,pop0,a
1,1100.0,pop2,a
1,1100.0,pop3,c
1,1100.0,pop3,b
1,1100.0,pop4,c
1,1100.0,pop5,b
1,1100.0,pop6,c
1,1100.0,pop6,b
1,1100.0,pop7,b
1,1100.0,pop9,a
1,1100.0,pop10,a
1,1100.0,pop10,b
1,1100.0,pop10,c
1,1200.0,pop0,c
1,1200.0,pop0,b
1,1200.0,pop0,a
1,1200.0,pop2,c
1,1200.0,pop2,a
1,1200.0,pop3,c
1,1200.0,pop3,b
1,1200.0,pop4,b
1,1200.0,pop5,b
1,1200.0,pop6,c
1,1200.0,pop7,b
1,1200.0,pop9,a
1,1200.0,pop10,a
1,1200.0,pop10,b
1,1200.0,pop10,c
1,1300.0,pop0,c
1,1300.0,pop0,a
1,1300.0,pop2,a
1,1300.0,pop3,c
1,1300.0,pop3,b
1,1300.0,pop4,b
1,1300.0,pop5,b
1,1300.0,pop6,c
1,1300.0,pop7,b
1,1300.0,pop9,a
1,1300.0,pop10,a
1,1300.0,pop10,b
1,1300.0,pop10,c
1,1400.0,pop0,c
1,1400.0,pop0,a
1,1400.0,pop2,a
1,1400.0,pop9,b
1,1400.0,pop10,c
1,1400.0,pop10,b
1,1500.0,pop0,c
1,1500.0,pop0,a
1,1500.0,pop2,a
1,1500.0,pop3,c
1,1500.0,pop5,b
1,1500.0,pop6,c
1,1500.0,pop6,b
1,1500.0,pop7,b
1,1500.0,pop9,b
1,1500.0,pop10,a
1,1500.0,pop10,c
1,1500.0,pop10,b
1,1600.0,pop0,c
1,1600.0,pop0,b
1,1600.0,pop2,c
1,1600.0,pop2,a
1,1600.0,pop3,c
1,1600.0,pop3,b
1,1600.0,pop4,c
1,1600.0,pop5,b
1,1600.0,pop6,c
1,1600.0,pop6,b
1,1600.0,pop6,a
1,1600.0,pop7,a
1,1600.0,pop9,c
1,1600.0,pop9,a
1,1600.0,pop10,a
1,1600.0,pop10,c
1,1700.0,pop0,c
1,1700.0,pop0,b
1,1700.0,pop2,a
1,1700.0,pop6,c
1,1700.0,pop9,a
1,1700.0,pop10,c
1,1700.0,pop10,b
1,1800.0,pop0,c
1,1800.0,pop0,b
1,1800.0,pop2,a
1,1800.0,pop3,c
1,1800.0,pop6,c
1,1800.0,pop7,b
1,1800.0,pop9,a
1,1800.0,pop10,a
1,1800.0,pop10,b
1,1900.0,pop0,c
1,1900.0,pop0,b
1,1900.0,pop2,a
1,1900.0,pop3,c
1,1900.0,pop3,b
1,1900.0,pop4,c
1,1900.0,pop6,c
1,1900.0,pop7,b
1,1900.0,pop9,a
1,1900.0,pop10,a
1,1900.0,pop10,b
1,1900.0,pop10,c
1,2000.0,pop0,c
1,2000.0,pop0,b
1,2000.0,pop2,a
1,2000.0,pop3,c
1,2000.0,pop6,c
1,2000.0,pop9,a
1,2000.0,pop10,a
1,2000.0,pop10,b
1,2100.0,pop0,b
1,2100.0,pop0,c
1,2100.0,pop2,c
1,2100.0,pop2,a
1,2100.0,pop2,b
1,2100.0,pop3,c
1,2100.0,pop4,b
1,2100.0,pop5,a
1,2100.0,pop6,c
1,2100.0,pop6,a
1,2100.0,pop6,b
1,2100.0,pop7,c
1,2100.0,pop7,a
1,2100.0,pop9,b
1,2100.0,pop9,a
1,2100.0,pop9,c
1,2100.0,pop10,c
1,2100.0,pop10,a
1,2100.0,pop10,b
1,2200.0,pop0,c
1,2200.0,pop0,a
1,2200.0,pop2,a
1,2200.0,pop3,c
1,2200.0,pop4,b
1,2200.0,pop5,b
1,2200.0,pop6,c
1,2200.0,pop6,b
1,2200.0,pop7,c
1,2200.0,pop9,a
1,2200.0,pop10,c
1,2200.0,pop10,b
1,2300.0,pop0,c
1,2300.0,pop0,a
1,2300.0,pop2,a
1,2300.0,pop3,c
1,2300.0,pop4,c
1,2300.0,pop5,b
1,2300.0,pop6,c
1,2300.0,pop6,b
1,2300.0,pop7,c
1,2300.0,pop9,b
1,2300.0,pop9,a
1,2300.0,pop10,b
1,2300.0,pop10,c
1,2400.0,pop0,b
1,2400.0,pop0,c
1,2400.0,pop0,a
1,2400.0,pop2,c
1,2400.0,pop2,a
1,2400.0,pop2,b
1,2400.0,pop3,c
1,2400.0,pop4,b
1,2400.0,pop5,a
1,2400.0,pop6,c
1,2400.0,pop6,a
1,2400.0,pop6,b
1,2400.0,pop7,c
1,2400.0,pop7,a
1,2400.0,pop9,b
1,2400.0,pop9,a
1,2400.0,pop9,c
1,2400.0,pop10,c
1,2400.0,pop10,b
1,2500.0,pop0,c
1,2500.0,pop0,a
1,2500.0,pop2,a
1,2500.0,pop3,c
1,2500.0,pop4,b
1,2500.0,pop5,b
1,2500.0,pop6,b
1,2500.0,pop6,c
1,2500.0,pop7,c
1,2500.0,pop9,a
1,2500.0,pop10,c
1,2500.0,pop10,b
1,2600.0,pop0,c
1,2600.0,pop0,a
1,2600.0,pop2,a
1,2600.0,pop3,c
1,2600.0,pop3,b
1,2600.0,pop4,b
1,2600.0,pop5,b
1,2600.0,pop6,c
1,2600.0,pop6,b
1,2600.0,pop7,c
1,2600.0,pop9,c
1,2600.0,pop9,a
1,2600.0,pop10,a
1,2600.0,pop10,b
1,2600.0,pop10,c
1,2700.0,pop0,a
1,2700.0,pop2,a
1,2700.0,pop3,c
1,2700.0,pop4,c
1,2700.0,pop5,b
1,2700.0,pop6,c
1,2700.0,pop6,b
1,2700.0,pop7,b
1,2700.0,pop9,c
1,2700.0,pop10,b
1,2800.0,pop0,b
1,2800.0,pop0,c
1,2800.0,pop0,a
1,2800.0,pop2,c
1,2800.0,pop2,a
1,2800.0,pop2,b
1,2800.0,pop3,c
1,2800.0,pop3,b
1,2800.0,pop4,b
1,2800.0,pop4,c
1,2800.0,pop5,c
1,2800.0,pop5,b
1,2800.0,pop6,c
1,2800.0,pop6,a
1,2800.0,pop6,b
1,2800.0,pop7,a
1,2800.0,pop9,a
1,2800.0,pop9,c
1,2800.0,pop10,c
1,2800.0,pop10,a
1,2800.0,pop10,b
1,2900.0,pop0,c
1,2900.0,pop2,a
1,2900.0,pop3,c
1,2900.0,pop4,c
1,2900.0,pop5,b
1,2900.0,pop6,b
1,2900.0,pop6,c
1,2900.0,pop7,b
1,2900.0,pop9,a
1,2900.0,pop10,a
1,2900.0,pop10,b
1,3000.0,pop0,c
1,3000.0,pop2,a
1,3000.0,pop6,c
1,3000.0,pop7,b
1,3000.0,pop9,a
1,3000.0,pop10,b
1,3100.0,pop0,c
1,3100.0,pop0,b
1,3100.0,pop2,a
1,3100.0,pop3,c
1,3100.0,pop6,c
1,3100.0,pop7,b
1,3100.0,pop9,a
1,3100.0,pop10,a
1,3100.0,pop10,b
1,3200.0,pop0,c
1,3200.0,pop2,a
1,3200.0,pop6,c
1,3200.0,pop7,b
1,3200.0,pop9,a
1,3200.0,pop10,b
1,3300.0,pop0,a
1,3300.0,pop2,a
1,3300.0,pop3,c
1,3300.0,pop5,b
1,3300.0,pop6,c
1,3300.0,pop7,b
1,3300.0,pop9,b
1,3300.0,pop9,a
1,3300.0,pop10,b
