episode,time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay
1,100.0,12,10,1,1,15.0
1,200.0,26,22,2,2,22.09090909090909
1,300.0,35,31,2,2,23.741935483870968
1,400.0,41,37,2,2,24.08108108108108
1,500.0,55,48,3,4,24.479166666666668
1,600.0,65,60,3,2,25.383333333333333
1,700.0,76,70,3,3,25.857142857142858
1,800.0,85,79,3,3,26.063291139240505
1,900.0,94,90,3,1,26.033333333333335
1,1000.0,104,97,3,4,25.969072164948454
1,1100.0,116,108,3,5,26.10185185185185
1,1200.0,131,123,3,5,26.51219512195122
1,1300.0,143,136,3,4,26.514705882352942
1,1400.0,150,145,3,2,26.448275862068964
1,1500.0,162,157,4,1,26.32484076433121
