time,node,sf
0,pop0,a
0,pop0,c
0,pop0,vnf_source
0,pop0,b
200.0,pop0,a
200.0,pop0,c
200.0,pop0,vnf_source
200.0,pop0,b
300.0,pop0,a
300.0,pop0,c
300.0,pop0,vnf_source
300.0,pop0,b
400.0,pop0,a
400.0,pop0,c
400.0,pop0,vnf_source
400.0,pop0,b
500.0,pop0,a
500.0,pop0,c
500.0,pop0,vnf_source
500.0,pop0,b
600.0,pop0,a
600.0,pop0,c
600.0,pop0,vnf_source
600.0,pop0,b
700.0,pop0,a
700.0,pop0,c
700.0,pop0,vnf_source
700.0,pop0,b
800.0,pop0,a
800.0,pop0,c
800.0,pop0,vnf_source
800.0,pop0,b
900.0,pop0,a
900.0,pop0,c
900.0,pop0,vnf_source
900.0,pop0,b
1000.0,pop0,a
1000.0,pop0,c
1000.0,pop0,vnf_source
1000.0,pop0,b
1100.0,pop0,a
1100.0,pop0,c
1100.0,pop0,vnf_source
1100.0,pop0,b
1200.0,pop0,a
1200.0,pop0,c
1200.0,pop0,vnf_source
1200.0,pop0,b
1300.0,pop0,a
1300.0,pop0,c
1300.0,pop0,vnf_source
1300.0,pop0,b
1400.0,pop0,a
1400.0,pop0,c
1400.0,pop0,vnf_source
1400.0,pop0,b
1500.0,pop0,a
1500.0,pop0,c
1500.0,pop0,vnf_source
1500.0,pop0,b
1600.0,pop0,a
1600.0,pop0,c
1600.0,pop0,vnf_source
1600.0,pop0,b
1700.0,pop0,a
1700.0,pop0,c
1700.0,pop0,vnf_source
1700.0,pop0,b
1800.0,pop0,a
1800.0,pop0,c
1800.0,pop0,vnf_source
1800.0,pop0,b
1900.0,pop0,a
1900.0,pop0,c
1900.0,pop0,vnf_source
1900.0,pop0,b
2000.0,pop0,a
2000.0,pop0,c
2000.0,pop0,vnf_source
2000.0,pop0,b
2100.0,pop0,a
2100.0,pop0,c
2100.0,pop0,vnf_source
2100.0,pop0,b
2200.0,pop0,a
2200.0,pop0,c
2200.0,pop0,vnf_source
2200.0,pop0,b
2300.0,pop0,a
2300.0,pop0,c
2300.0,pop0,vnf_source
2300.0,pop0,b
2400.0,pop0,a
2400.0,pop0,c
2400.0,pop0,vnf_source
2400.0,pop0,b
2500.0,pop0,a
2500.0,pop0,c
2500.0,pop0,vnf_source
2500.0,pop0,b
2600.0,pop0,a
2600.0,pop0,c
2600.0,pop0,vnf_source
2600.0,pop0,b
2700.0,pop0,a
2700.0,pop0,c
2700.0,pop0,vnf_source
2700.0,pop0,b
2800.0,pop0,a
2800.0,pop0,c
2800.0,pop0,vnf_source
2800.0,pop0,b
2900.0,pop0,a
2900.0,pop0,c
2900.0,pop0,vnf_source
2900.0,pop0,b
3000.0,pop0,a
3000.0,pop0,c
3000.0,pop0,vnf_source
3000.0,pop0,b
3100.0,pop0,a
3100.0,pop0,c
3100.0,pop0,vnf_source
3100.0,pop0,b
3200.0,pop0,a
3200.0,pop0,c
3200.0,pop0,vnf_source
3200.0,pop0,b
3300.0,pop0,a
3300.0,pop0,c
3300.0,pop0,vnf_source
3300.0,pop0,b
3400.0,pop0,a
3400.0,pop0,c
3400.0,pop0,vnf_source
3400.0,pop0,b
3500.0,pop0,a
3500.0,pop0,c
3500.0,pop0,vnf_source
3500.0,pop0,b
3600.0,pop0,a
3600.0,pop0,c
3600.0,pop0,vnf_source
3600.0,pop0,b
3700.0,pop0,a
3700.0,pop0,c
3700.0,pop0,vnf_source
3700.0,pop0,b
3800.0,pop0,a
3800.0,pop0,c
3800.0,pop0,vnf_source
3800.0,pop0,b
3900.0,pop0,a
3900.0,pop0,c
3900.0,pop0,vnf_source
3900.0,pop0,b
4000.0,pop0,a
4000.0,pop0,c
4000.0,pop0,vnf_source
4000.0,pop0,b
4100.0,pop0,a
4100.0,pop0,c
4100.0,pop0,vnf_source
4100.0,pop0,b
4200.0,pop0,a
4200.0,pop0,c
4200.0,pop0,vnf_source
4200.0,pop0,b
4300.0,pop0,a
4300.0,pop0,c
4300.0,pop0,vnf_source
4300.0,pop0,b
4400.0,pop0,a
4400.0,pop0,c
4400.0,pop0,vnf_source
4400.0,pop0,b
4500.0,pop0,a
4500.0,pop0,c
4500.0,pop0,vnf_source
4500.0,pop0,b
4600.0,pop0,a
4600.0,pop0,c
4600.0,pop0,vnf_source
4600.0,pop0,b
4700.0,pop0,a
4700.0,pop0,c
4700.0,pop0,vnf_source
4700.0,pop0,b
4800.0,pop0,a
4800.0,pop0,c
4800.0,pop0,vnf_source
4800.0,pop0,b
4900.0,pop0,a
4900.0,pop0,c
4900.0,pop0,vnf_source
4900.0,pop0,b
5000.0,pop0,a
5000.0,pop0,c
5000.0,pop0,vnf_source
5000.0,pop0,b
