time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay
100.0,10,9,0,1,15.0
200.0,20,16,1,3,22.0
300.0,30,26,1,3,25.46153846153846
400.0,40,36,1,3,27.0
500.0,50,46,1,3,27.869565217391305
600.0,60,56,1,3,28.428571428571427
700.0,70,66,1,3,28.818181818181817
800.0,80,76,1,3,29.105263157894736
900.0,90,86,1,3,29.325581395348838
1000.0,100,96,1,3,29.5
1100.0,110,106,1,3,29.641509433962263
1200.0,120,116,1,3,29.75862068965517
1300.0,130,126,1,3,29.857142857142858
1400.0,140,136,1,3,29.941176470588236
1500.0,150,146,1,3,30.013698630136986
1600.0,160,156,1,3,30.076923076923077
1700.0,170,166,1,3,30.132530120481928
1800.0,180,176,1,3,30.181818181818183
1900.0,190,186,1,3,30.225806451612904
2000.0,200,196,1,3,30.26530612244898
