time,node,node_capacity,used_resources
100.0,pop0,10,3.0
100.0,pop1,10,0.0
100.0,pop2,10,0.0
200.0,pop0,10,2.0
200.0,pop1,10,1.0
200.0,pop2,10,1.0
300.0,pop0,10,1.0
300.0,pop1,10,1.0
300.0,pop2,10,1.0
400.0,pop0,10,1.0
400.0,pop1,10,1.0
400.0,pop2,10,1.0
500.0,pop0,10,1.0
500.0,pop1,10,1.0
500.0,pop2,10,1.0
600.0,pop0,10,1.0
600.0,pop1,10,1.0
600.0,pop2,10,1.0
700.0,pop0,10,1.0
700.0,pop1,10,1.0
700.0,pop2,10,1.0
800.0,pop0,10,1.0
800.0,pop1,10,1.0
800.0,pop2,10,1.0
900.0,pop0,10,1.0
900.0,pop1,10,1.0
900.0,pop2,10,1.0
1000.0,pop0,10,1.0
1000.0,pop1,10,1.0
1000.0,pop2,10,1.0
1100.0,pop0,10,1.0
1100.0,pop1,10,1.0
1100.0,pop2,10,1.0
1200.0,pop0,10,1.0
1200.0,pop1,10,1.0
1200.0,pop2,10,1.0
1300.0,pop0,10,1.0
1300.0,pop1,10,1.0
1300.0,pop2,10,1.0
1400.0,pop0,10,1.0
1400.0,pop1,10,1.0
1400.0,pop2,10,1.0
1500.0,pop0,10,1.0
1500.0,pop1,10,1.0
1500.0,pop2,10,1.0
1600.0,pop0,10,1.0
1600.0,pop1,10,1.0
1600.0,pop2,10,1.0
1700.0,pop0,10,1.0
1700.0,pop1,10,1.0
1700.0,pop2,10,1.0
1800.0,pop0,10,1.0
1800.0,pop1,10,1.0
1800.0,pop2,10,1.0
1900.0,pop0,10,1.0
1900.0,pop1,10,1.0
1900.0,pop2,10,1.0
2000.0,pop0,10,1.0
2000.0,pop1,10,1.0
2000.0,pop2,10,1.0
